,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,cat
212,27.311495999999998,31.954646,39.896912,45.217942,49.512072,,,,-0.0014554465452790277,0.003609088518655386,-0.030062658957643727,-0.02749202391802153,-0.03342167134702724,SSP1,Upper CI,Australia and New Zealand,Non-Staples,Australia and New ZealandNon-Staples
231,13.526174,17.579998000000003,17.648928,20.257906,21.667226,,,,0.001164356593852021,-0.004724131917690734,-0.004799070408385977,-0.0010493272364479193,-0.0008995799972274986,SSP1,Lower CI,Australia and New Zealand,Staples,Australia and New ZealandStaples
232,13.526174,17.579998000000003,17.648928,20.257906,21.667226,,,,0.007581823726199977,-0.0014939864295999694,-0.0010176908865999756,0.00015210202880000523,-7.283304759986287e-05,SSP1,Median,Australia and New Zealand,Staples,Australia and New ZealandStaples
233,13.526174,17.579998000000003,17.648928,20.257906,21.667226,,,,0.008428324776592534,0.007555032793149506,0.0017585804957574952,0.0012198139342766811,0.0008916061578753291,SSP1,Upper CI,Australia and New Zealand,Staples,Australia and New ZealandStaples
252,131.157228,210.196242,262.178318,303.763106,331.70480399999997,,,,-0.2725505960339025,-0.3478000962591684,-0.28179914063669,-0.26332024879814125,-0.2634497482794855,SSP1,Lower CI,Brazil,Non-Staples,BrazilNon-Staples
253,131.157228,210.196242,262.178318,303.763106,331.70480399999997,,,,-0.2597804354440072,-0.23007954160999589,-0.2347146349339937,-0.23293878864200224,-0.22551716362001173,SSP1,Median,Brazil,Non-Staples,BrazilNon-Staples
254,131.157228,210.196242,262.178318,303.763106,331.70480399999997,,,,-0.11803957453766653,-0.08066270042036217,-0.18276270735092268,-0.1653577511681461,-0.17526565204871072,SSP1,Upper CI,Brazil,Non-Staples,BrazilNon-Staples
273,137.025152,179.39366,175.61504,171.58442,174.25060000000002,,,,0.03769522204585546,0.028549473595140176,0.03989014259479415,0.04231079176376085,0.03996332391490229,SSP1,Lower CI,Brazil,Staples,BrazilStaples
274,137.025152,179.39366,175.61504,171.58442,174.25060000000002,,,,0.05143083994599973,0.048139430465999666,0.04492602341200014,0.04533788378399972,0.042454037041999904,SSP1,Median,Brazil,Staples,BrazilStaples
275,137.025152,179.39366,175.61504,171.58442,174.25060000000002,,,,0.06622066212569933,0.06237291800815403,0.04882985506234841,0.048384442077953047,0.044911376303764364,SSP1,Upper CI,Brazil,Staples,BrazilStaples
294,41.221137,50.167593399999994,49.626433,53.533206,57.44877654,,,,-0.07288585532505697,-0.16413001526193638,-0.08095274101446696,-0.0720875894577834,-0.07431208360068842,SSP1,Lower CI,Canada,Non-Staples,CanadaNon-Staples
295,41.221137,50.167593399999994,49.626433,53.533206,57.44877654,,,,-0.05378994575911733,-0.07495581064573997,-0.06319170129651752,-0.061521888452755746,-0.06432050212663754,SSP1,Median,Canada,Non-Staples,CanadaNon-Staples
296,41.221137,50.167593399999994,49.626433,53.533206,57.44877654,,,,-0.0202780808394339,0.0075732138588544,-0.05006386009027102,-0.047328427817949756,-0.052686684235864055,SSP1,Upper CI,Canada,Non-Staples,CanadaNon-Staples
315,20.351208,30.936848,30.627222,28.473959999999998,29.9752,,,,0.006869063862257182,-0.008499560689569828,-0.0008953606073102906,0.00243548437582728,0.002780526758468847,SSP1,Lower CI,Canada,Staples,CanadaStaples
316,20.351208,30.936848,30.627222,28.473959999999998,29.9752,,,,0.013192318528000069,0.002660133622000016,0.0020919951859998953,0.003837871941999804,0.0037014618560000656,SSP1,Median,Canada,Staples,CanadaStaples
317,20.351208,30.936848,30.627222,28.473959999999998,29.9752,,,,0.016233709423965112,0.015095860302746563,0.005519794612072254,0.005372257181505776,0.004857596720388379,SSP1,Upper CI,Canada,Staples,CanadaStaples
336,35.2653828,55.5889362,73.844025,87.9514174,97.226772,,,,-0.03540907853147371,-0.35287756489597044,-0.1243146112565867,-0.055239772044041194,-0.05951669785059754,SSP1,Lower CI,Central America and Caribbean,Non-Staples,Central America and CaribbeanNon-Staples
337,35.2653828,55.5889362,73.844025,87.9514174,97.226772,,,,-0.021935070975999338,-0.0525878769737993,-0.04420690609720168,-0.04318491164439919,-0.04602855885979906,SSP1,Median,Central America and Caribbean,Non-Staples,Central America and CaribbeanNon-Staples
338,35.2653828,55.5889362,73.844025,87.9514174,97.226772,,,,0.015117961915654596,0.06327461232455966,-0.009644034875854537,-0.01885201574767503,-0.025130524924241483,SSP1,Upper CI,Central America and Caribbean,Non-Staples,Central America and CaribbeanNon-Staples
357,49.884164,61.431742,70.09242,76.2433,77.83632,,,,0.05391010204580001,-0.198179479493287,-0.06112956262004459,0.036082291566030315,0.03544001862734081,SSP1,Lower CI,Central America and Caribbean,Staples,Central America and CaribbeanStaples
