C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
53.7,6.7,0,33.9,17.6,17.2,77.2,5.7,650,40,5,27.25,87.4,1.8,9.6,0,33.4,51.7,44.34,,,,
51.71,5.32,0.33,42.64,17.02,13.7,71,2.1,500,60,10,23.99,85.59,2.82,10.48,1.11,37.52,52.88,39.7,[38],,,
61.57,4.37,1.02,33.04,16.54,25.3,49.1,4.6,500,60,10,36.92,84.44,2.88,3.12,1.02,24.11,53.81,50.63,,,,
55.82,5.62,0.84,37.73,15.89,17.9,66.8,3.4,500,60,10,31.11,87.85,2.91,8.14,1.11,27.97,54.75,48.95,,,,
50.52,5.81,0.23,43.44,16.46,10.7,80.1,0.4,500,60,10,22.21,89.31,2.57,7.34,0.78,38.72,52.25,39.26,,,,
53.42,6.12,1.4,39.06,15.4,16.2,68.9,4.9,500,60,10,30.34,84.84,3.13,10.2,1.83,28.02,55.19,48.18,,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,300,30,5,59,57,4.14,29.59,2.09,21.58,82.2,82.31,[41],,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,350,30,5,42.8,64.7,4.05,21.25,1.3,25.54,70.57,67.77,,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,500,30,5,34,71.29,3.38,13.31,1.42,27.25,59.82,59.32,,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,600,30,5,30.7,72.25,2.47,12.33,1.45,26.59,52.7,54.28,,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,300,30,5,51.3,56.83,5.17,25.47,2.99,23.07,73.9,68.4,,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,350,30,5,45.1,64.93,4.54,16.78,2.42,26.01,73.25,68.71,,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,500,30,5,31.5,63.78,3.09,15.74,3.19,23.93,47.07,47.14,,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,600,30,5,29,68.05,2.38,10.35,2.92,25.1,45.45,46.3,,,,
35.1,4,1.05,38.1,13.06,20.8,58.4,20.8,300,30,5,63.2,41.49,3.23,24.57,1.86,15.13,73.2,74.71,,,,
35.1,4,1.05,38.1,13.06,20.8,58.4,20.8,350,30,5,59.4,41.8,3,18.9,2.1,15.54,70.66,70.74,,,,
35.1,4,1.05,38.1,13.06,20.8,58.4,20.8,500,30,5,48.4,45.25,2.15,10.89,1.4,15.34,56.84,62.4,,,,
